ID,Sex,Age,AgeGroup,EthnicGroup,Education,SES,DeprivationIndex,Victim,confpolice,antisoc
147264090.0,Female,49.0,4,White,GCSE,4.0,3.0,0.0,0.3593503564624661,-0.23
147264130.0,Male,21.0,1,White,University,7.0,1.0,1.0,0.1156854125491157,0.7
147264210.0,Female,48.0,4,White,ALevel,4.0,4.0,0.0,99.0,-0.72
147264290.0,Male,49.0,4,White,GCSE,5.0,2.0,0.0,0.8568329502855566,0.46
147265010.0,Female,20.0,1,White,University,4.0,1.0,0.0,-2.6255452064760765,-2.52
147265130.0,Female,45.0,4,White,99,2.0,1.0,0.0,0.1461435305382845,-1.09
147265250.0,Female,17.0,1,White,GCSE,4.0,1.0,0.0,1.5370642520436597,0.29
147265290.0,Female,22.0,1,White,University,5.0,1.0,0.0,-1.2447771909670908,-3.42
147266010.0,Male,32.0,2,White,ALevel,1.0,1.0,0.0,-0.7676000091367796,-1.48
147266090.0,Male,50.0,4,White,ALevel,1.0,4.0,0.0,1.3238574261194782,-0.06
147266130.0,Male,70.0,6,White,University,1.0,4.0,0.0,0.1258381185455053,0.79
147266170.0,Female,66.0,6,White,University,1.0,3.0,0.0,-1.2549298969634803,-0.75
147266210.0,Female,27.0,2,White,University,1.0,4.0,0.0,-0.3107282392992475,-0.94
147266250.0,Male,51.0,4,White,GCSE,5.0,4.0,0.0,-0.7676000091367796,1.22
147267010.0,Female,29.0,2,White,GCSE,1.0,4.0,1.0,-0.7980581271259483,-0.0
147267050.0,Male,43.0,3,White,99,5.0,1.0,0.0,0.3593503564624661,-0.74
147267290.0,Female,60.0,5,White,University,1.0,3.0,0.0,99.0,-1.01
